Mineral,Descriptions,Rocks_type,Reference
Calcite,"Calcite PPL properties Relief: Low to high; twinkling; variable relief. Habit/Form: Crystals of calcite have many habits but usually consist of combination of scalenohedrons and rhombohedrons. However, in most rocks, calcite forms anhedral grains or aggregates of grains. Fossil shells and thin veins may be fibrous or columnar. Color: Colorless (often cloudy); can be white, grey, pink Pleochroism: – Cleavage: Rhombohedral cleavage; at least one cleavage; usually shows at two intersecting lines at oblique angles (75° if section is cut normal to the cleavage traces). In fine aggregates the cleavage may not show. There is sometimes parting parallel to {0112} which is due to twin-gliding.",general PPL,http://microckscopic.ro/minerals/
Calcite,"Calcite XPL properties Isotropy/Anisotropy: Anisotropic Interference color: High-order; the maximum interference color is pearl gray or white of the higher orders. Thin edges of the slide usually show bright colors of the fourth and fifth orders and tints of higher orders. Thin films and twin lamellae of calcite usually show bright interference colors. Extinction angle: Symmetrical or inclined to the rhombohedral cleavages. When a section is in one of the extinction position, fine birefringent calcite dust formed by griding is prominent. Twins: Polysynthetic twinning with {01-12} as twin-plane is very common, especially in the calcite of metamorphic limestone. The twin lamellae are mostly parallel to the long diagonal, but they also intersect at oblique angles depending upon how the section is cut. The twin lamellae are usually so thin that they show first-order interference colors. Uniaxial/Biaxial: Uniaxial (-) Optic axial angle (2V): –",general XPL,http://microckscopic.ro/minerals/
Rutile,"Rutile PPL properties Relief: High – Very High positive Habit/Form: Crystals are elongate tetragonal prism with square or octogonal cross-sections. Also as slender, acicular, or hair like crystals, and anhedral grains. Rounded and abraided grains are common in some clastic sediments. Color: Red, brownish red, yellowish, deep brown (Nb, Ta), green (Nb, Ta); may be opaque Pleochroism: Absent – weak Cleavage: Barely visible in thin sections; after {110} and {100}. Cleavage may control the orientation of fragments.",general PPL,http://microckscopic.ro/minerals/
Rutile,Rutile XPL properties Isotropy/Anisotropy: Anisotropic Interference color: High-order cream (often is masked by colour); interference colors are very high but do not show well on account of total reflection. Extinction angle: Parallel / 0° / straight; difficult to detect due to extreme birefringence Twins: Rare; in large crystals. Uniaxial/Biaxial: Uniaxial (+) Optic axial angle (2V): –,general XPL,http://microckscopic.ro/minerals/
Brucite,Brucite PPL properties Relief: Low – Moderate positive Habit/Form: Brucite usually occurs as foliated or swirled masses and aggregates or as fibrous masses. Fibrous brucite is called hemalite or nemalite and is relatively uncommon. The folia are tabular parallel to {0001}; and the fibers are elongate at right angles to the c axis. Color: Colorless Pleochroism: – Cleavage: Perfect in one direction {0001} but may not show in thin sections.,general PPL,http://microckscopic.ro/minerals/
Brucite,"Brucite XPL properties Isotropy/Anisotropy: Anisotropic Interference color: Order I; Some of the interference colors are anomalous; a pelicular reddish brown hue takes the place of the yellow and orange of the first order. If the section is too thin, the anomalous colors do not show. Extinction angle: Parallel / 0° / straight to cleavages or fibers. Twins: Absent Uniaxial/Biaxial: Uniaxial (+) (anomalous Biaxial) Optic axial angle (2V): –",general XPL,http://microckscopic.ro/minerals/
Barite,"Barite PPL properties Relief: Moderate positive Habit/Form: Crystals are typically tabular or, less commonly, prismatic parallel to the a or b crystal axes. Crystals are often intergrown, forming rosettes or platy aggregates. Barite also forms concretionary masses with fibrous texture, and granular or cleavable masses. Color: Colorless; can be pale yellow, pale green, pale brown Pleochroism: None to very weak Cleavage: In three directions, parallel to {001} and {110} and therefore at angles of 90° and 78°",general PPL,http://microckscopic.ro/minerals/
Barite,"Barite XPL properties Isotropy/Anisotropy: Anisotropic Interference color: Order I gray and white to yellow; slightly greater than that of quartz. The maximum interference color is rarely above first-order yellow or orange. The interference colors are frequently mottled. Extinction angle: Parallel / 0° / straight along {001} cleavage. The extinction in {001} sections is symmetrical. Twins: Polysynthetic twinning with {110} as the twin-plane is occasionally found. Uniaxial/Biaxial: Biaxial (+) Optic axial angle (2V): 2V measured: 36 – 42°, calculated: 36 – 40°",general XPL,http://microckscopic.ro/minerals/
Spinel,"Spinel PPL properties Relief: High positive Habit/Form: Crystals are usually octahedrons yielding triangular, square, or diamond-shaped cross sections in thin section. Subequant anhedral grains also are common. Color: Colorless, pale gray, pale gray-green, pale green, pale blue, pale pink Pleochroism: Anomalous pleochroism is sometimes observed. Cleavage: Absent",general PPL,http://microckscopic.ro/minerals/
Spinel,"Spinel XPL properties Isotropy/Anisotropy: Isotropic Interference color: It is one of the few isometric minerals that is invariably isotropic. Extinction angle: – Twins: Twinning according to the spinel law with {111} as twin-plane is rather common, but it does not usually show in the slide. Uniaxial/Biaxial: Isotropic Optic axial angle (2V): –",general XPL,http://microckscopic.ro/minerals/
Cordierite,"Cordierite PPL properties Relief: Low positive Habit/Form: Commonly found as anhedral grains or irregular porphyroblastic grains, often with numerous inclusions of quartz, opaque grains, or other minerals. Less commonly as euhedral hexagonal prismatic crystals. Color: Colorless; may have pale yellow pleochroic haloes around inclusions of zicron and apatite. Other colors: green, violet, violet-blue, pale blue. Pleochroism: None; sometimes weak Cleavage: Fair cleavage on {010}; but it may not show in sections.",general PPL,http://microckscopic.ro/minerals/
Cordierite,"Cordierite XPL properties Isotropy/Anisotropy: Anisotropic Interference color: Order I yellow to order I red; usually about the same as that of quartz – order I gray or white. Extinction angle: Parallel / 0° / straight to all cleavages and crystal outlines. Twins: Complex twinning – lamellar and cyclic twins are common. The usual twin planes are {110} and {130}. The twinning may resemble plagioclase twin, although basal sections may display a radial or cyclic pattern with roughly hexagonal symmetry. Those cordierite crystals formed at high temperatures tend to be most complexly twinned. Uniaxial/Biaxial: Biaxial (+/-) Optic axial angle (2V): 2V measured: 75 – 89°, calculated: 54 – 86°",general XPL,http://microckscopic.ro/minerals/
Tourmaline,"Tourmaline PPL properties Relief: Moderate positive Habit/Form: Tourmaline commonly forms euhedral, stubby columnar to acicular crystals that show a rounded triangular or crudely hexagonal cross section. Longitudinal sections are usually roughly rectangular. Acicular crystals may form radiating masses. Also found as anhedral grains or irregular masses. Color: Schorl: pale yellow, pale brown, yellow-brown. Dravite: colorless, yellowish, greenish, brownish, pale yellow. Elbaite: colorless, yellow, olive green, purple, colorless, pink, pale green, pale blue, deep blue. Tourmaline is often color-zoned. Pleochroism: Intense Cleavage: Absent but irregular fractures are common.",general PPL,http://microckscopic.ro/minerals/
Tourmaline,Tourmaline XPL properties Isotropy/Anisotropy: Anisotropic Interference color: Order II yellow/green to low order III Extinction angle: Parallel / 0° / straight in longitudial sections. Cross sections remain dark on rotation. Twins: Absent Uniaxial/Biaxial: Uniaxial (-) Optic axial angle (2V): –,general XPL,http://microckscopic.ro/minerals/
Nepheline,"Nepheline PPL properties Relief: Low negative Habit/Form: In intrusive rocks, nepheline is usually anhedral or subhedral, and in volcanic rocks, it tends to form subhedral to euhedral crystals either as part of the groundmass or as phenocrysts. Crystals are usually stubby prisms with either a square or hexagonal cross section. Longitudinal sections are usually rectangular. Color: Colorless (often cloudy). It may show rows of inclusions. Zonal structure may be due to arrangement of inclusions or to alternating layers richer and poorer in SiO2. Nepheline from young volcanic rocks are commonly comparatively clear, whereas those from plutonic rocks are usually turbid owing to pigment inclusions and/or alteration. Pleochroism: – Cleavage: Poor basal on {0001} and prismatic {10-10}; usually not seen in thin section",general PPL,http://microckscopic.ro/minerals/
Nepheline,Nepheline XPL properties Isotropy/Anisotropy: Anisotropic Interference color: Order I gray to white; basal sections are dark. Extinction angle: Rectangular longitudinal sections have parallel / 0° / straight extinction. Basal sections are dark between crossed nicols. Twins: Rare Uniaxial/Biaxial: Uniaxial (-) Optic axial angle (2V): –,general XPL,http://microckscopic.ro/minerals/
Prehnite,"RELIEF :  Moderately  high  positive relief.  FORM:  Commonly   as  radiating,  fanlike,  or  sheaftike aggregates. A pattern resembling a bow tie is common.  The  individual  grains  in  the  aggregates  are often joined nearly parallel to (001). Also as lamellar or columnar masses. Crystals are uncommon but tend to be either tabular parallel to (001) or prismatic parallel to the c axis. A pattern of symmetrical intergrowths may show a radial or ""hourglass"" pattern. CLEAVAGE:  The  basal  {001} cleavage  is  good,  and two prismatic cleavages on {110} are poor and not usually  seen. The basal  cleavage  tends to  control fragment orientation.",general PPL,
